subjectid,manipulation,protocolid,block1,block2,block3,block4,block5,block6,block7,block8
1,0,1,1,2,8,3,7,4,6,5
2,0,2,2,3,1,4,8,5,7,6
3,0,3,3,4,2,5,1,6,8,7
4,0,4,4,5,3,6,2,7,1,8
5,,,,,,,,,,
6,-1,2,2,3,1,4,8,5,7,6
7,,,,,,,,,,
8,1,2,2,3,1,4,8,5,7,6
9,-1,6,6,7,5,8,4,1,3,2
10,,,,,,,,,,
11,-1,7,7,8,6,1,5,2,4,3
12,0,1,1,2,8,3,7,4,6,5
13,-1,8,8,1,7,2,6,3,5,4
14,-1,5,5,6,4,7,3,8,2,1
15,1,4,4,5,3,6,2,7,1,8
16,0,6,6,7,5,8,4,1,3,2
17,,,,,,,,,,
18,,,,,,,,,,
19,-1,3,3,4,2,5,1,6,8,7
20,0,3,3,4,2,5,1,6,8,7
21,,,,,,,,,,
22,0,5,5,6,4,7,3,8,2,1
23,-1,1,1,2,8,3,7,4,6,5
24,-1,4,4,5,3,6,2,7,1,8
25,99,2,2,3,1,4,8,5,7,6
26,99,1,1,2,8,3,7,4,6,5
27,99,3,3,4,2,5,1,6,8,7
28,99,4,4,5,3,6,2,7,1,8
29,,,,,,,,,,
30,99,6,6,7,5,8,4,1,3,2
31,99,7,7,8,6,1,5,2,4,3
32,99,8,8,1,7,2,6,3,5,4
33,99,5,5,6,4,7,3,8,2,1
34,1,8,8,1,7,2,6,3,5,4
35,0,7,7,8,6,1,5,2,4,3
36,0,8,8,1,7,2,6,3,5,4
37,1,7,7,8,6,1,5,2,4,3
38,0,2,2,3,1,4,8,5,7,6
39,,,,,,,,,,
40,1,6,6,7,5,8,4,1,3,2
41,1,3,3,4,2,5,1,6,8,7
42,1,1,1,2,8,3,7,4,6,5
43,1,5,5,6,4,7,3,8,2,1
44,0,4,4,5,3,6,2,7,1,8
