subjectid,manipulation,protocolid,block1,block2,block3,block4
1,0,1,1,2,4,3
2,0,2,2,3,1,4
3,0,3,3,4,2,1
4,0,4,4,1,3,2
5,,,,,,
6,-1,2,2,3,1,4
7,,,,,,
8,1,2,2,3,1,4
9,-1,6,2,3,1,4
10,,,,,,
11,-1,7,3,4,2,1
12,0,1,1,2,4,3
13,-1,8,4,1,3,2
14,-1,5,1,2,4,3
15,1,4,4,1,3,2
16,0,6,2,3,1,4
17,,,,,,
18,,,,,,
19,-1,3,3,4,2,1
20,0,3,3,4,2,1
21,,,,,,
22,0,5,1,2,4,3
23,-1,1,1,2,4,3
24,-1,4,4,1,3,2
25,99,2,2,3,1,4
26,99,1,1,2,4,3
27,99,3,3,4,2,1
28,99,4,4,1,3,2
29,,,,,,
30,99,6,2,3,1,4
31,99,7,3,4,2,1
32,99,8,4,1,3,2
33,99,5,1,2,4,3
